VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster,View Count,Like Count,Comment Count,Channel Title,Channel_Weight
vk7_uI-V_9I,1.33,9.44,29.73,12.37,1.19,6.6,3.06,12.4,23.88,4,181,10,12,The Love Train Nation,0.0001441463373469395
VKoE3wGc3wI,0.02,1.01,5.29,16.75,0.0,0.0,20.22,12.29,44.42,1,689330,14383,1355,Livin La Vida Tagalog,0.0010450609457653113
vl0HKxs2Q6k,0.1,2.32,0.04,13.98,0.04,0.0,38.12,2.33,43.07,1,5370,573,156,Proudly Nomadic,0.0002985888416472318
VL3wgrgay3k,0.03,9.7,0.0,32.66,0.96,0.66,8.82,8.71,38.46,7,6524,320,28,JSB PINAY VLOGS,0.0010450609457653113
VlDzJIgBk4w,4.8,17.64,0.07,8.17,0.05,0.04,18.79,4.86,45.58,0,815,23,19,Robbie Travels,0.0006967072971768742
VLIVlWc_eII,0.71,2.16,0.02,49.81,4.93,0.62,12.1,7.47,22.18,7,63978,2169,413,Dabble The Reaction,0.00041802437830612457
vlXUmXkTaCs,0.07,8.69,0.23,20.39,9.68,3.22,5.38,28.84,23.5,2,3914,281,29,Pinoy Planet,4.644715314512495e-05
vLZ0q5eV2Uw,0.28,5.43,0.0,15.18,0.11,0.0,28.47,16.26,34.27,1,217519,8194,343,Waleska Herrera,2.7501603835929242e-05
Vl_ApxUIAmE,0.8,1.45,0.31,35.14,0.0,0.0,23.56,10.23,28.51,7,3203,183,58,Marker 44,0.0013934145943537484
VMCjnPNXoM8,0.42,9.71,1.48,25.5,2.84,1.29,11.98,6.94,39.84,0,1364,67,0,Every Day is CHUsDay,0.0013934145943537484
VmO94k6De_k,0.0,1.59,0.0,25.14,0.33,0.0,8.17,14.43,50.34,1,64116,785,61,Eatbook,0.0013934145943537484
voJl8cH8Zpo,0.01,0.35,0.01,4.27,0.02,0.0,25.08,5.25,65.01,1,13487,1227,332,Proudly Nomadic,0.0002985888416472318
volmZv1dva8,0.1,8.71,0.6,6.19,0.29,1.26,30.94,2.62,49.29,1,674229,12391,612,Munchies,0.0005971776832944636
VOSLLD1EPuY,0.01,0.47,0.0,48.56,0.65,0.0,4.66,25.3,20.35,7,92126,2175,459,Vlog on with Rj & Tin,0.0020901218915306227
VoUdWRHkDwA,0.18,5.89,0.0,34.64,2.7,0.0,14.3,6.47,35.82,7,16228,870,116,Chai Travel,0.0005225304728826557
vpGYmk0kg1E,0.04,12.07,0.0,11.17,0.0,0.0,20.84,13.47,42.41,0,103954,1063,26,Nic & Rei,0.00013484657364713694
VPrX23ORDaQ,0.0,4.96,0.0,39.92,0.0,0.0,11.61,19.44,24.07,7,352884,17739,1035,JREKML,0.0002458966931212497
VPzTvF8UdcM,0.58,1.0,0.69,17.59,0.0,0.0,29.3,16.28,34.56,1,91601,3157,132,The Demouchets REACT,0.0002458966931212497
VQDYf9EfMwI,2.26,7.0,0.19,12.0,0.85,0.0,19.78,30.02,27.9,2,60133,3962,159,JUICY REACTS,0.00016720975132244982
VRswO3n1d40,0.51,10.28,0.0,23.64,7.48,0.0,9.38,20.8,27.91,0,589777,14748,961,BuzzFeed UK,0.00046447153145124943
vrwkd3W1lD0,0.0,1.11,0.03,12.09,29.72,0.0,36.32,0.17,20.56,3,691411,31855,2486,Pinoy Planet,4.644715314512495e-05
VS9PU8NW6jg,0.0,1.98,0.0,23.19,2.81,0.11,28.53,5.47,37.91,1,274893,11246,514,Waleska Herrera,2.7501603835929242e-05
vSJ-MNUKzVU,0.1,0.27,0.0,18.98,1.3,0.01,17.75,13.34,48.25,1,169235,4637,856,Ken Abroad,0.00015482384381708316
vT0d85_9n30,0.0,11.4,0.0,21.46,0.0,0.03,13.96,14.14,39.01,0,424,14,6,Raff De Leon,0.0010450609457653113
VUg23n16wuU,0.23,5.9,2.24,24.08,2.33,0.0,27.61,6.52,31.09,7,263153,6567,296,RELL 🕺🏽,0.0005225304728826557
vuQqCtkpOTc,0.03,1.18,0.0,39.94,0.39,0.0,11.0,28.26,19.2,7,27507,905,180,Be My Travel Muse,0.0010450609457653113
VVJsDz-omC0,0.0,0.24,0.0,10.61,0.0,0.0,38.33,4.28,46.54,1,3701,11,0,blogTO,0.0013934145943537484
VvSHdSdi2vY,0.33,4.24,0.15,27.95,1.08,0.04,10.42,20.86,34.93,7,64323,3106,308,Where Next Family,0.0020901218915306227
VW1fCBRUBYk,4.94,2.24,0.0,37.95,0.0,0.0,9.77,6.23,38.87,7,195568,2675,407,Harees Ameerali - Royal Sky Holidays,0.00046447153145124943
vwIIeiOhTJ0,0.0,1.4,0.19,4.95,2.78,0.0,14.57,0.72,75.39,1,3287307,39088,8964,Origins Explained,0.0020901218915306227
vWMLmmhyBFQ,2.15,2.15,0.0,20.27,10.27,2.55,26.21,3.35,33.05,1,28259,1383,141,The Commodity,8.038930352040857e-05
vwmwPlFX3e0,0.0,0.04,0.04,16.22,0.52,0.0,42.74,4.58,35.86,6,105762,5102,436,Waleska Herrera,2.7501603835929242e-05
VwWCkl-CglI,2.33,5.27,0.0,14.79,0.5,0.0,45.51,1.15,30.45,6,354153,10135,865,K-Pop Vocal Coach,0.0010450609457653113
Vx0TqLbcVpc,0.04,3.12,0.01,17.38,3.73,0.0,36.09,2.92,36.71,1,116394,4291,577,Nadir On The Go,0.0005971776832944636
VX3AgEC1JJ0,0.5,1.81,1.32,18.07,2.27,0.15,27.02,8.03,40.83,1,222398,5773,422,World Nomac,0.00026126523644132783
VXWFdonv_-Q,4.49,9.54,0.44,17.66,2.55,0.0,26.39,6.41,32.52,0,94677,0,639,Big Guy Appetite,0.0005225304728826557
Vy12l-WwqlQ,0.0,0.04,0.0,14.03,0.14,0.0,33.6,5.01,47.18,1,141002,6273,329,Waleska Herrera,2.7501603835929242e-05
vY45ASw41X8,1.1,5.48,0.0,24.5,0.59,7.31,12.46,2.58,45.98,5,9640,581,71,The Garcia Family,0.00011000641534371697
vyezxhPOZsg,0.05,1.09,0.0,42.63,1.53,0.0,11.76,17.62,25.32,7,6010,58,3,Top 10 World,0.0013934145943537484
vynTh30p49k,3.39,1.93,0.0,26.06,0.2,0.0,10.02,8.29,50.11,1,64886,1285,265,Adam and Jane's Lifestyle,8.708841214710928e-05
vZMYvrUw8jc,0.69,0.55,0.0,39.39,0.0,0.02,6.61,17.91,34.83,7,72926,1619,242,Cindy Casimira Caroline,0.0013934145943537484
vzSmLYoOMc0,4.08,1.02,0.0,19.27,3.07,0.0,33.92,9.31,29.33,1,304,2,1,Dinah joy,0.0020901218915306227
w-uejeoxpLg,0.39,11.0,0.0,21.41,0.0,0.0,21.3,9.66,36.24,0,4126,316,97,Aaron Around,0.00022001283068743394
