Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
ZPZD8BZjXX4,Pancit Canton Filipino Wheat Noodles,4,-1.2898926,2.808831
FHWph0x6D2o,!? Are they all Filipino!?,4,-0.3999553,3.5974176
k4cn8eVRCDo,13 SUBS WOW...,4,-0.7725802,1.4203955
poCFGyWuPAI,Why o Why,4,-0.6662563,2.3289971
E-GA_47pT-k,Casa Filipina Bakeshop & Restaurant,4,-1.4368227,3.2074027
OSBd03yJyhQ,A day in my life as a Japanese highschool student,4,0.21765263,1.4043894
OA5QfHZOIMA,we taste everything on the menu,4,-0.44295555,2.0776203
WMR0eH5kM6I,Easy Sinigang na Baboy,4,-1.6782221,3.2243807
_I8wNd_0Cng,Joann Lomeda,4,-2.0167494,1.9738492
TOj-pssurng,Tokay Inside The House!,4,-1.0361415,3.6765323
f5fD_oFGdzU,WOW! -,4,-0.5657338,2.7030773
c4kMjhSt73k,How We Met Our Journey From LDR to Married,4,-1.0590588,2.8494773
5OsH70IAD1A,LDR,4,-1.9612751,1.1864424
sf4wICUY4xU,Philippines Day 1 Manila! Trying Beef Nilaga!,4,-0.7394243,3.4153094
2sZh5FtJRb8,Philippines Snacks How's them like?,4,-0.3068558,3.3057253
fI6f3sGZmz0,SPEAKING TAGALOG CHALLENGE Filipino VS Portuguese,4,0.07695177,1.5951592
E6iIgJEMXec,Jollibee,4,-2.8278973,0.74232054
YNjvhHBsX9M,Best Mangoes In The World?,4,-0.64590514,3.6115856
pAyhlW6r84M,Why I Love Ireland,4,-1.0744648,2.5930402
Ib2Y0kt_6Ok,"Frozen, Dried and Fresh Durians",4,-1.5010531,2.1796668
AQtTuTZyNiA,Most Common Tagalog Verbs,4,-2.0899975,2.379799
qIbwMzcY-Fs,Vocal Coach Hakuna Matata,4,-2.1041787,1.3277339
bAn0qP3BHcI,V.025 E.04,4,-0.9744974,0.8815671
jxZgccTWzcg,Dear Suzu... Love Letters From,4,-0.6878043,1.6494102
fwBAEa4VFUc,100,4,-2.0164452,2.1883373
sJtqUEZe5b0,VLOGMAS DAY19 2015 2020 2023,4,-1.1555293,0.85588974
QBJxmfAfphE,mommy masakit ang tiyan ko Wawa naman ang Damla ko Punta kami sa Akbk para magbakasyon,4,-1.4890043,2.4012616
c0_yjwProzU,Korean Guys Travel in CEBU with Hopping Tour 2,4,-1.335764,2.635779
Uz80mFnPR1w,?,4,-1.5899372,1.7090701
-WaDvcu7mcw,and we eat it,4,-0.7157217,2.1971462
AJF7cjAgZ9M,Mga Lutong Bahay pampawala ng homesick kasi madaming memories ang mga pagkain ko,4,-0.58234745,2.8494704
H_w4DjRC5N8,Filipino Dinuguan with my foreign friends,4,-1.0159196,2.034671
jUL1cRzKQlE,Chillin on Cloud 9,4,-1.7362634,-0.3806808
DTcQGJh0vSQ,Exploring ENORMOUS Filipino Church Castle,4,-0.86006725,2.808262
IsgC81D2O8w,iBoto! for COUNCILOR,4,-0.6750932,1.4686962
FBWBu3LOz4k,Fresh Lumpia Sauce Sweet Brown Sauce,4,-2.4342525,1.6800101
c12zRnFUTdo,Filipino Food,4,-1.8315823,2.0230033
Wr1PRU25AE0,Official Trailer Happentance,4,-1.6663584,1.1927385
OwtlyzaZvnI,Magustuhan kaya ng mga in-laws ang FILIPINO food?,4,-0.6461074,3.884366
i8qS2r4Mws0,Crazy!! Filipino Snacks!,4,-0.46405324,4.3953366
joeAUU_Gwko,Jollibee,4,-2.8278973,0.74232054
7pD0XOWc5nU,Flora,4,-2.59525,1.2147903
S3N0vl_wBD0,2,4,-1.4559455,1.6890129
pgyfXG8mmtw,WALESKA & EFRA REACT TO A TEAM PH HH9 Champions 2014,4,-0.9941065,1.244349
2CLpCOnn-tk,I'm Sorry...,4,-0.77327615,1.0147852
XMfnDnulMLo,Pancit Palabok Rice Noodles w Shrimp Sauce,4,-1.860426,1.9917809
NszjlDWCpc0,Signal 5 Typhoon!,4,-0.74976724,2.1913435
Px1ZJASd-8U,LITE FERRIES LITE FERRIES www.liteferries.com,4,-0.98269147,1.1190147
E0_OqkMMWaU,Manila MRT,4,-2.1194873,2.2292328
kcUTnM5Flpg,divert living,4,-3.781901,1.4882557
n4fnyoOI1Aw,10 Best Countries to Retire,4,-0.9534129,2.6029751
rr9vlpo96d8,EL Nido Is it worth the hype?,4,-0.09871527,2.8220026
kBRmepdDuGk,!!! OMG! ..,4,-0.90148234,1.8036067
TSv5dcZ_NRQ,Jaya Who is she? Philippines queen of soul! Jaya Kasalanan Ko Ba?,4,-0.4971527,3.6465123
ysLKE6PrK8k,Tortang Kapampangan w Ground Pork,4,-2.1600902,1.7806872
TIdar1knDhA,1 2,4,-1.6836964,0.97065806
z91GDl8-CgM,RuPaul's DRAG RACE,4,-0.5994496,1.6250366
F4A56Fm9eLY,Tuslob Buwa,4,-2.1692188,1.1869344
DyLgj2-1T9I,K-Pop Vocal Coach Reacts SILVER.SKIES MANILA GREY Silver Skies,4,-0.44462106,0.89337486
IdUZHc7nqnE,Adidas Chicken Feet,4,-1.3359898,1.905975
n3rW_AoutiI,Challenged My Korean Filipino Brother! No Noona! The International Siblings,4,-1.1659286,2.133202
3tdQO7zvmcA,"Japanese Reaction SO CRAZY! BAGYO KA LANG, PINOY KAMI! 1,000,000 views!!! BAGYO memes",4,-0.72534317,2.021095
61AVQo4qIYg,Yeng Constantino Ako Muna,4,-1.5343505,1.48747
CKPXaDT-8ps,Zark's Burgers,4,-1.3159716,2.2355256
HSrvch0vdyo,Philippines Best Fun!,4,-0.8788205,3.2803628
dD3jQhawZ7g,? ?,4,-1.548834,1.7279549
uHlpkicokAA,WHITE Island Camiguin Philippines,4,-1.5119017,2.223385
wHGYz9tbcEw,Peach Mango Pie Jollibee,4,-1.81821,1.5713377
IkusGn6DhGo,SB19,4,-2.0752876,1.6463629
V4bqpSGnnA0,Lupang Hinirang,4,-1.9972234,2.188601
aYJ0w1ZQfYg,Lost,4,-3.570913,1.3474936
S8U0sCHork8,Women Expats Moving To The Philippines?,4,-1.0295159,3.5116389
9nbuNLU2S-U,Dried Fish!!!,4,-0.60335404,3.7004576
0uJu9JkxNwI,Sisig w Pork Belly Chicken Liver,4,-1.744596,2.4978075
f6UXRBaKPU0,Koreans Try Filipino Food,4,-1.7331324,1.6787201
kIbd4DORB-8,So emotional 8 days in the Philippines,4,-1.4663526,1.5913663
1qvAJGZYr3E,Vocal Coach Lyca Gairanod,4,-2.1422782,1.1221912
kTrjYBGGol0,Sinigang w Beef Short Ribs,4,-1.9651769,2.1916325
gTeTykurNzg,So talented... !?,4,-0.81701213,2.1928968
tW9cnzMZXhk,Welcome to Iloilo,4,-0.56004137,1.4624308
qNK6fd81u2I,Menudo w Pork Butt,4,-1.8209152,1.8219275
N7Are3AU9oQ,BATANES Philippines,4,-0.44594756,2.7955375
0G5jfRhHsqg,Philippines is poor,4,-1.3847163,2.495962
jw7ykAwVGH0,MANILA VS JAKARTA 2020 MANILA VS JAKARTA,4,-0.5536504,0.81598604
T1_A2TNM4L4,Tocino Sweet Cured Pork,4,-1.9771485,1.4476982
M9C3dF4FjpQ,Jollibee,4,-2.8278973,0.74232054
NBVO7zfPBgA,Foreigner TRIES Chicken Adobo,4,-0.48428902,0.54502624
UNfq6ITddXI,The Best Street Foods!,4,-0.61545426,3.2902489
yvX6GqOU9OI,1419.,4,-2.0621252,1.6308082
BaxCa7M2I_s,RuPaul's DRAG RACE,4,-0.59944963,1.625036
RaQcueErQYg,Easter,4,-2.9734192,1.6428108
0UFz5YQk8o0,EUMEE CAPILE cover Listen Beyonce,4,-1.7320697,0.6362292
Q-UMFEF4icE,Philippines,4,-1.9214334,2.782858
K4BnzGb1FGQ,Masarap SISIG FLY fly also like it,4,-0.9204356,1.7595229
