Video ID,View Count,Like Count,Comment Count
l9UlnZaDsvI,522,13,12
HjZ7ieWqdu0,1671,19,7
o0fdUa1b3i0,746,13,0
Jg6HvCdYcdU,247,24,13
azAs6xPIOeA,3067,94,22
ARbPGL8KKdw,73159,985,224
JGkhrd5j3Fo,59931,1182,388
g9JgpKQaay0,49247,1488,220
T6OpdSJYRqE,17076,330,127
GVjNHhIC_9I,65484,1343,328
99fs2R7d7sQ,23998,906,123
CGUCzt05VNk,44363,939,196
Xe0-gR7QLzY,134493,3346,433
x6et_mlkDfk,37526,1063,232
8pPfRksmgUI,11123,368,162
doRDwc2Ya1c,36008,918,212
zyzWB5E1LDI,18661,892,376
LjCVsoqlqXc,173,6,3
Y5V4OD0VL2w,185,6,11
kgUAiUr2_MY,84589,1669,319
_P1SHYsPKxQ,255516,5875,768
eV66hRLAl8A,1207386,33166,2355
HReZebELtow,230009,7542,1203
2dD8ZEnj2Dg,116478,4398,596
J2vr5AuNAC0,284403,12415,1033
ULwXOAFO3uM,162724,9888,738
zp9wrbAZEKI,475059,26712,2230
X9uOURLpJXk,118876,8879,1332
Qn3QZdRroVE,65808,4647,605
jiT0MP2torM,350647,13271,1020
NPgGlRbnXSg,388739,14208,687
MGQieW-HRww,86470,4460,199
AHzUp3wF1Gw,114556,7376,960
uGp7m2EGrzs,64109,3741,270
djhF__0EWrY,70304,3425,174
NlKkIA5lW-Q,198006,10066,720
NzyCOg9yKOg,186499,9648,919
V2V6r1xMe28,33076,2424,247
YMMaPzMN0Uk,59279,3824,473
WlPM99K-Os0,148601,6586,376
n2QQE2QgGt4,646795,31489,2934
77a3CJtqZgs,105740,5997,794
6Xi5e8lpOyo,77048,5092,237
HfM_jRg_4rU,159320,8088,264
KtyE8CJUnqA,77404,4400,127
eQ1K39Li53o,341271,8471,197
FjOoUAucp5Q,346886,10707,954
4KZ_bBwg0iA,421806,9238,1826
V5zddbxFt10,444954,11969,2907
evD5wEOafNg,95395,3305,824
aCzagvvHfrM,74796,2767,316
1Es0kYdryIo,41810,2523,473
ji1j_pWB1eo,93754,6041,841
rZRqkLDUJMo,49000,3865,731
NY7WkZi_KJw,126830,4761,448
NkyPghe6xCI,135606,6944,526
o1QveClsSHc,965040,49762,2957
ZY-me6ZLWbo,137155,6697,661
wz90fu3QViI,1271513,38312,2188
a-syc1wfO8o,81557,5191,499
wO27AUykhWo,47858,3121,259
iOwbUK5Udrk,329339,13411,1060
saMh6aFwmTI,275806,15684,1241
V_jBRswt1f8,75676,3646,306
u-y-dQbT0GQ,37312,2365,211
dD048yYCWgY,1787415,37044,4207
gDZezDDUHj8,43141,3141,237
5n1cd_H0cPM,26684,2101,95
NJz1VnMofRQ,110729,7720,667
cuGPn1yNiA4,249455,7633,798
rF32p4fgzgI,210988,5588,251
Xfy-C-W8GjI,60727,3019,311
aGGkzRhhNyc,87150,8051,721
jravO2fkiOk,347406,17161,1965
Tpy1TCoLInY,95369,6441,225
Iz9Bg4PXps4,13080,1220,47
qA4NGYZQ-mU,24546,1783,91
4MxQ8RsauA8,117451,4504,388
YsyFvM4KgIk,146158,8023,257
DqKAtJZHhlM,17215,1034,65
n2oup0I-WGE,28560,1584,121
PHI0k24Q9Oo,9308,414,14
rAfu0-y2Jp4,21437,1601,152
zlRyVK7xjG4,131327,3691,498
xYf0qQkrp3I,29014,1153,84
zihLj9qF2xo,35279,1227,223
T7RbuYIJ4zc,218080,6055,638
eDvP80AVwRA,954441,21676,1766
p2NTq4nx4s8,70141,2867,318
bgSrBqcY17M,218199,3647,224
nE5UNQxN6MM,99026,5506,657
kvbxSHTW7-A,119854,4395,635
EYnqgk8eg8I,108365,5484,879
PlaMItN8aa0,187811,6654,659
gGE8DnvlaEs,92311,4191,538
gu8mynNX5Tc,40311,3614,509
vsAi-9CXgrU,123484,7081,831
ALf7wbf9ZOU,48244,3742,436
Sw2CCWma7D4,117413,5368,783
6MbZlIOM2aY,50504,3744,455
JC8RqTQWQsY,86327,4739,395
texpdt06WN0,62476,5422,700
1IsOL4lFIUI,42953,3007,536
4C4KH01N6J4,55715,4018,533
gda3XFGIBDc,159422,9024,966
xwMP8bc-TBg,53599,3593,362
UZkxfvmT41s,127634,7015,588
PG1jqH10PMQ,73802,5203,481
XXFKdSGnkZk,86896,5639,573
PhbkIxXk2gA,60109,3572,559
PUvjCZz7h6U,43837,3308,327
deC_kKi3jVE,63423,4659,527
cv0FazANxAs,74362,5649,413
VAyMJ3XYdR8,121097,6336,718
AxdlWLN-XP4,61226,4763,758
fv_XUdnuUsc,55156,4045,597
4WId7HP4dyY,50591,2619,394
-TSwr4PU3Es,40973,2572,398
--wOq1j3K6s,41168,3990,408
RLPz3-Z-OWs,87335,5006,792
DyL8vrzDnug,37354,3228,274
zYUqFrrgx7g,349952,20473,2510
rfu3owWe0i0,56018,3920,481
hPASwBNntk8,32264,2536,222
IbXjLk4KkR0,38671,2522,359
JxCSFJAmB9Y,55802,3503,380
bYDrqgyouxs,118173,6337,513
l5QzmmO6jec,85594,5014,535
1uRH7yk-zJ4,35598,3687,430
HJzkpN0dAwo,55123,3623,406
0DgOwSGtFEM,65538,5429,559
09NH5SXB0_4,162899,11406,1244
FjZlkF6NgEY,26587,2035,324
Bf3-UBYRoQ8,191673,15642,1702
uC4oowFB5SU,142800,8268,1046
5fCRCeX4qEE,33069,2424,275
RKOXXFWHlt0,67276,5476,537
rYA7gT3rp2g,66028,5216,418
ZZGWbVtWfTw,69367,5041,388
L--a9N9OqnA,69502,5488,740
6oVfh58skjU,61766,4820,504
XApq_amzFBk,232845,13200,1629
